user_id,username,upassword,first_name,last_name,birthday,uheight,uweight,bmi,num_preg
0,nfp8122,nfp8122,Luz,Murphy,1986-09-05,63,120,0.030234315948601664,0
1,nfp8114,nfp8114,Emma,Duran,1983-11-17,68,185,0.040008650519031144,0
2,nfp8109,nfp8109,Anna,Alexander,1993-09-23,66,180,0.04132231404958678,0
3,nfp8106,nfp8106,Carmen,Romero,1997-09-11,71,200,0.0396746677246578,0
4,nfp8024,nfp8024,Karla,Bell,1999-09-21,65,150,0.03550295857988166,0
5,nfp8020,nfp8020,Erin,Cortez,1989-07-19,65,155,0.036686390532544376,0
6,nfp8026,nfp8026,Beth,Jones,1984-04-09,67,137,0.030519046558253507,0
7,nfp8030,nfp8030,Katherine,Navarro,1999-12-13,65,135,0.03195266272189349,0
8,nfp8031,nfp8031,Gloria,Pena,1992-11-26,66,136,0.031221303948576674,0
9,nfp8032,nfp8032,Julia,Green,1992-01-01,65,136,0.03218934911242603,0
10,nfp8034,nfp8034,Karen,Juarez,1999-04-18,72,178,0.03433641975308642,0
11,nfp8036,nfp8036,Lauren,Rosales,1995-10-10,63,106,0.02670697908793147,0
12,nfp8040,nfp8040,Barbara,Solis,1998-07-21,69,130,0.027305187985717287,0
13,nfp8041,nfp8041,Cathy,Kim,1987-12-18,65,180,0.04260355029585799,0
14,nfp8042,nfp8042,Teresa,Campbell,1985-07-25,67,187,0.04165738471820005,0
15,nfp8043,nfp8043,Veronica,Guerrero,1990-10-19,70,168,0.03428571428571429,0
16,nfp8045,nfp8045,Michelle,Gomez,1986-05-01,63,170,0.04283194759385236,0
17,nfp8046,nfp8046,Margaret,Shah,1985-02-16,67,175,0.038984183559812875,0
18,nfp8047,nfp8047,Adriana,Evans,1990-06-01,64,220,0.0537109375,0
19,nfp8049,nfp8049,Alicia,Johnson,1999-03-22,63,95,0.023935500125976318,0
20,nfp8050,nfp8050,Monica,Edwards,2001-10-22,63,220,0.05542957923910305,0
21,nfp8051,nfp8051,Liz,Scott,1999-11-10,65,120,0.028402366863905324,0
22,nfp8057,nfp8057,Melissa,Fuentes,1988-10-11,65,209,0.049467455621301774,0
23,nfp8058,nfp8058,Jenny,Torres,1991-08-21,64,170,0.04150390625,0
24,nfp8060,nfp8060,Allison,Rodríguez,1986-01-24,62,110,0.02861602497398543,0
25,nfp8062,nfp8062,Jackie,Alvarez,1990-09-01,64,120,0.029296875,0
26,nfp8063,nfp8063,Tracy,Morgan,2000-03-07,67,115,0.02561817776787703,0
27,nfp8064,nfp8064,Claudia,Hernandez,1991-11-18,68,170,0.03676470588235294,0
28,nfp8066,nfp8066,Ruth,Martinez,1985-04-23,62,141,0.03668054110301769,0
29,nfp8068,nfp8068,Betty,Velasquez,1983-10-15,67,201,0.04477611940298507,0
30,nfp8069,nfp8069,Denise,Castro,2001-03-06,68,160,0.03460207612456748,0
31,nfp8072,nfp8072,Elizabeth,Miranda,1996-09-12,62,190,0.049427679500520294,0
32,nfp8073,nfp8073,Carol,Alvarado,1994-04-03,62,145,0.037721123829344436,0
33,nfp8074,nfp8074,Miriam,Carrillo,1987-04-13,65,300,0.07100591715976332,0
34,nfp8076,nfp8076,Becky,Chen,1993-06-01,67,135,0.030073513031855646,0
35,nfp8079,nfp8079,Sonia,Delgado,1986-02-19,64,130,0.03173828125,0
36,nfp8080,nfp8080,Patty,Maldonado,1984-09-28,69,260,0.054610375971434574,0
